,project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,addresses_id,addressable_type,address_type,address,city,state,zip_code,latitude,longitude
0,11,92.0,1221.0,15,Golden Spoon_257,19.0,Fast Food Restaurants,,"Anderson, Shields and Hyatt",2020-03-22 05:43:31.817303,2020-03-22 05:43:33.92774,0.0,5,False,True,1,1.0,,,,1,1080.0,10000.0,1,86.0,86.0,43.0,600.0,0.0,0.0,12900.0,2,2,0.0,0.0,,13330.0,,0.0,41,Project,1,1515 US-169,Smithville,MO,64089,39.41287,-94.5837
1,11,92.0,1221.0,15,Golden Spoon_257,19.0,Fast Food Restaurants,,"Anderson, Shields and Hyatt",2020-03-22 05:43:31.817303,2020-03-22 05:43:33.92774,0.0,5,False,True,1,1.0,,,,1,1080.0,10000.0,1,86.0,86.0,43.0,600.0,0.0,0.0,12900.0,2,2,0.0,0.0,,13330.0,,0.0,1831,Order,2,1775 W State St PMB 125,Boise,ID,83702,43.624184,-116.21222
2,11,92.0,1221.0,15,Golden Spoon_257,19.0,Fast Food Restaurants,,"Anderson, Shields and Hyatt",2020-03-22 05:43:31.817303,2020-03-22 05:43:33.92774,0.0,5,False,True,1,1.0,,,,1,1080.0,10000.0,1,86.0,86.0,43.0,600.0,0.0,0.0,12900.0,2,2,0.0,0.0,,13330.0,,0.0,5713,ProjectFinancingEstimate,1,300 NW 16th St,Fruitland,ID,83619,44.02532,-116.91656499999999
3,15,928.0,1781.0,19,Demo Project - updated and synced name - again,,,2336.0,"Blanda, Stiedemann and Kiehn",2020-03-22 01:55:33.805258,2020-03-22 01:55:40.416535,,5,False,True,6,936.0,3727.0,0.1,,6,795312.0,22538.461538461543,6,138.0,118.0,80.0,83.0,2097888.0,180.2884615384616,1681.0,12,10,966.59424,1044.59424,,8489.2094,,12.30496493583961,38,Company,1,735 Southwest Blvd,Kansas City,KS,66103,39.063046,-94.61836
4,15,928.0,1781.0,19,Demo Project - updated and synced name - again,,,2336.0,"Blanda, Stiedemann and Kiehn",2020-03-22 01:55:33.805258,2020-03-22 01:55:40.416535,,5,False,True,6,936.0,3727.0,0.1,,6,795312.0,22538.461538461543,6,138.0,118.0,80.0,83.0,2097888.0,180.2884615384616,1681.0,12,10,966.59424,1044.59424,,8489.2094,,12.30496493583961,1870,Order,2,1775 W State St PMB 125,Boise,ID,83702,43.624184,-116.21222
5,15,928.0,1781.0,19,Demo Project - updated and synced name - again,,,2336.0,"Blanda, Stiedemann and Kiehn",2020-03-22 01:55:33.805258,2020-03-22 01:55:40.416535,,5,False,True,6,936.0,3727.0,0.1,,6,795312.0,22538.461538461543,6,138.0,118.0,80.0,83.0,2097888.0,180.2884615384616,1681.0,12,10,966.59424,1044.59424,,8489.2094,,12.30496493583961,5774,ProjectFinancingEstimate,1,1211 Highway 278 East,Amory,MS,38821,33.97517,-88.468666
6,15,928.0,1781.0,19,Demo Project - updated and synced name - again,,,2336.0,"Blanda, Stiedemann and Kiehn",2020-03-22 01:55:33.805258,2020-03-22 01:55:40.416535,,5,False,True,6,936.0,3727.0,0.1,,6,795312.0,22538.461538461543,6,138.0,118.0,80.0,83.0,2097888.0,180.2884615384616,1681.0,12,10,966.59424,1044.59424,,8489.2094,,12.30496493583961,6181,FinancingCreditApp,3,1234 Main,Boise,ID,83702,43.618342999999996,-116.2084
7,15,928.0,1781.0,19,Demo Project - updated and synced name - again,,,2336.0,"Blanda, Stiedemann and Kiehn",2020-03-22 01:55:33.805258,2020-03-22 01:55:40.416535,,5,False,True,6,936.0,3727.0,0.1,,6,795312.0,22538.461538461543,6,138.0,118.0,80.0,83.0,2097888.0,180.2884615384616,1681.0,12,10,966.59424,1044.59424,,8489.2094,,12.30496493583961,6182,FinancingCreditApp,1,1775 W State St. PMB 125,Boise,ID,83702,43.624184,-116.21222
8,15,928.0,1781.0,19,Demo Project - updated and synced name - again,,,2336.0,"Blanda, Stiedemann and Kiehn",2020-03-22 01:55:33.805258,2020-03-22 01:55:40.416535,,5,False,True,6,936.0,3727.0,0.1,,6,795312.0,22538.461538461543,6,138.0,118.0,80.0,83.0,2097888.0,180.2884615384616,1681.0,12,10,966.59424,1044.59424,,8489.2094,,12.30496493583961,27048,Location,1,2400 Huntington Blvd.,Hoffman Estates,IL,60192,42.0682,-88.12274000000001
9,15,21.0,1782.0,19,Demo Project - updated and synced name - again,,,2336.0,"Blanda, Stiedemann and Kiehn",2021-04-28 21:40:38.078686,2021-04-28 21:40:43.529132,,5,False,True,5,936.0,3727.0,0.1,,5,662760.0,22538.461538461543,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,6,6.2172489379008806e-15,6.2172489379008806e-15,,0.0,,119.57548221174454,38,Company,1,735 Southwest Blvd,Kansas City,KS,66103,39.063046,-94.61836
